y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,0.034384713,-0.34655488,0.04517559,-0.53400385,0.7595989,-0.10853062,-1.1367389,-0.4667125,0.28006887,-1.7912763,-0.4798152,0.07285638
1,-0.53091055,-1.1034217,0.6046822,-0.38242212,0.4738294,-0.19628239,-1.3612132,-1.0712903,0.5016846,-2.2848136,0.3608648,0.5447395
1,-0.33790198,0.2947092,2.4678154,0.058913156,-1.6154623,0.272618,-0.2438983,-1.068625,-0.7601869,-1.9479356,0.71746624,0.68378675
1,-0.4296183,-0.3819549,-0.3362682,-1.4837924,0.15995926,-1.5427848,1.3438063,-0.5097384,4.194126,0.8208625,-0.17594434,-0.7475072
1,-0.07431068,-0.71868885,1.5268621,-0.5777804,0.061384827,-0.20444454,-0.55122185,-1.0131851,-0.20378788,-1.4014294,-0.016775481,0.6004038
1,0.70817757,0.9062189,-0.5577998,0.28435954,-0.23865093,-0.25098085,-0.27662545,0.3708751,0.05807036,-1.1464705,0.18037191,0.013227537
1,-0.024544843,-0.11118345,2.6482055,-0.35367197,-0.31495377,-0.20880464,-0.2445819,-0.6840334,-0.58169967,-1.1409423,-0.5124598,0.19199231
1,0.8442978,0.6069488,-0.5025051,0.3970121,-0.69197124,0.35315484,-0.22114003,1.67117,-0.52121484,-0.10438724,-0.326359,-0.19186085
1,-0.44398943,-0.08925785,3.529383,-0.7357641,-2.0509622,0.51607186,-0.062551916,-1.2250875,-1.3623316,-2.5601223,0.4576468,-0.0754382
1,0.5262844,-1.685678,0.07037933,-0.011513317,-0.24849449,-0.15552142,-0.12691091,0.3513466,-0.67747116,0.61948144,0.17048043,0.13259785
1,0.28785113,-0.74714553,1.388979,-0.5687244,-0.16380335,-0.24149689,-0.07606585,-1.0243304,-0.43760377,-0.66815436,-0.105280265,0.9914583
1,0.076189,1.5190417,-0.47358495,-1.0934159,-0.019023508,-1.3169895,-0.11284273,-0.61143976,-0.48484674,0.7252293,0.028543413,-0.8037609
1,-0.106107704,0.49688786,-1.5528021,-1.5020211,0.5352341,0.4348144,-0.38260663,1.135621,0.81492674,-0.99484545,-0.8897738,1.7052425
1,0.19954582,1.0962,-1.5248258,0.65135026,0.40918142,-1.1190218,-1.6720798,0.18028861,0.6701542,-0.18212833,2.0336585,1.4948589
1,-0.73810166,1.5929277,0.8811921,0.85151166,-0.05869004,-0.5573576,0.2763731,0.9660514,-0.14507544,0.6302655,0.03237144,1.7849786
1,0.3708185,-0.22210671,-0.5100925,1.1622703,-0.86439836,0.5218093,-0.19406584,-0.05637153,-0.5396587,-0.4039263,-0.37062237,0.44289786
1,-0.6225291,-0.28654546,-0.43744758,-0.78536886,0.4607129,-0.24718533,-0.3539368,-0.77912515,-0.6686048,-0.10075627,-1.2763153,-0.84421504
1,-0.5511597,-1.5893731,-0.21802779,-0.8295124,-0.26839995,-0.2641707,-0.14256003,0.02407626,-0.41022718,0.82769954,-0.32403597,0.53802025
